customer_id,event_name,event_timestamp,device_platform_name,device_make,device_model,description
A1IWF85Y76DUZP,Exit,2023-01-22 08:10:01.363,iOS,Apple,"iPhone14,2",Alexa MXBR Frontend
A1IWF85Y76DUZP,react.lmnt.smart-home.deviceHealth.noticeBanner.view.mobilytics-interaction,2023-01-22 08:10:01.397,iOS,Apple,"iPhone14,2",Alexa Mobile Event
A1IWF85Y76DUZP,MENU_SETTINGS,2023-01-22 08:10:04.616,iOS,Apple,"iPhone14,2",Alexa Mobile Org Platform Core
A1IWF85Y76DUZP,react.lmnt.devices-channel.nullSpaceCard.mobilytics-interaction,2023-01-22 08:10:04.72,iOS,Apple,"iPhone14,2",Alexa Mobile Device
A1IWF85Y76DUZP,react.lmnt.devices-channel.nullSpeakerCard.mobilytics-interaction,2023-01-22 08:10:04.72,iOS,Apple,"iPhone14,2",Alexa Mobile Device
A1IWF85Y76DUZP,react.lmnt.smart-home.upsellCategoryTileView_THERMOSTAT.mobilytics-interaction,2023-01-22 08:10:04.739,iOS,Apple,"iPhone14,2",Alexa Mobile Event
A1IWF85Y76DUZP,react.lmnt.smart-home.upsellCategoryTileView_CAMERA.mobilytics-interaction,2023-01-22 08:10:04.74,iOS,Apple,"iPhone14,2",Alexa Mobile Event
A1IWF85Y76DUZP,react.lmnt.smart-home.upsellCategoryTileView_SMARTPLUG.mobilytics-interaction,2023-01-22 08:10:04.742,iOS,Apple,"iPhone14,2",Alexa Mobile Event
A1IWF85Y76DUZP,react.lmnt.smart-home.recommendations.HunchesContentPublisher.impression.mobilytics-interaction,2023-01-22 08:10:04.906,iOS,Apple,"iPhone14,2",Alexa Smart Home Mobile App Control
A1IWF85Y76DUZP,react.lmnt.smart-home.recommendations.HunchesContentPublisher.load.mobilytics-interaction,2023-01-22 08:10:04.906,iOS,Apple,"iPhone14,2",Alexa Smart Home Mobile App Control
A1IWF85Y76DUZP,react.lmnt.smart-home.favorites.load.loadFavorites.mobilytics-interaction,2023-01-22 08:10:05.008,iOS,Apple,"iPhone14,2",Alexa Mobile Event
A1IWF85Y76DUZP,react.lmnt.smart-home.favorites.click.routeToAppliancePage.mobilytics-interaction,2023-01-22 08:10:10.992,iOS,Apple,"iPhone14,2",Alexa Mobile Event
A1IWF85Y76DUZP,react.lmnt.smart-home.dynamicControlPageView.mobilytics-interaction,2023-01-22 08:10:11.077,iOS,Apple,"iPhone14,2",Alexa Smart Home Networking
A1IWF85Y76DUZP,react.lmnt.smart-home.recommendations.HunchesContentPublisher.load.mobilytics-interaction,2023-01-22 08:10:11.241,iOS,Apple,"iPhone14,2",Alexa Smart Home Mobile App Control
A1IWF85Y76DUZP,react.lmnt.smart-home.recommendations.HunchesContentPublisher.impression.mobilytics-interaction,2023-01-22 08:10:11.242,iOS,Apple,"iPhone14,2",Alexa Smart Home Mobile App Control
A1IWF85Y76DUZP,react.lmnt.smart-home.dynamicControlLinks_CreateARoutine_createARoutine.mobilytics-interaction,2023-01-22 08:10:11.383,iOS,Apple,"iPhone14,2",Alexa Smart Home Networking
A1IWF85Y76DUZP,react.lmnt.smart-home.recommendations.HunchesContentPublisher.load.mobilytics-interaction,2023-01-22 08:10:14.307,iOS,Apple,"iPhone14,2",Alexa Smart Home Mobile App Control
A1IWF85Y76DUZP,react.lmnt.devices-channel.nullSpeakerCard.mobilytics-interaction,2023-01-22 08:10:14.308,iOS,Apple,"iPhone14,2",Alexa Mobile Device
A1IWF85Y76DUZP,react.lmnt.devices-channel.nullSpaceCard.mobilytics-interaction,2023-01-22 08:10:14.308,iOS,Apple,"iPhone14,2",Alexa Mobile Device
A1IWF85Y76DUZP,react.lmnt.smart-home.recommendations.HunchesContentPublisher.load.mobilytics-interaction,2023-01-22 08:10:14.308,iOS,Apple,"iPhone14,2",Alexa Smart Home Mobile App Control
A1IWF85Y76DUZP,react.lmnt.smart-home.upsellCategoryTileView_THERMOSTAT.mobilytics-interaction,2023-01-22 08:10:14.33,iOS,Apple,"iPhone14,2",Alexa Mobile Event
A1IWF85Y76DUZP,react.lmnt.smart-home.upsellCategoryTileView_SMARTPLUG.mobilytics-interaction,2023-01-22 08:10:14.332,iOS,Apple,"iPhone14,2",Alexa Mobile Event
A1IWF85Y76DUZP,react.lmnt.smart-home.upsellCategoryTileView_CAMERA.mobilytics-interaction,2023-01-22 08:10:14.351,iOS,Apple,"iPhone14,2",Alexa Mobile Event
A1IWF85Y76DUZP,react.lmnt.smart-home.recommendations.HunchesContentPublisher.impression.mobilytics-interaction,2023-01-22 08:10:14.497,iOS,Apple,"iPhone14,2",Alexa Smart Home Mobile App Control
A1IWF85Y76DUZP,react.lmnt.smart-home.categoryTileClick_LIGHT.mobilytics-interaction,2023-01-22 08:10:15.66,iOS,Apple,"iPhone14,2",Alexa Mobile Event
A1IWF85Y76DUZP,react.lmnt.devices-channel.categoryTileClick_LIGHT.mobilytics-interaction,2023-01-22 08:10:15.66,iOS,Apple,"iPhone14,2",Alexa Mobile Device
